Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,PoolArea,SalePrice,0,1,2,3,4,9,11,15,18,19,20,22,24,25,28,32,33,43,44,53,57,60,71,73,78,85,95
177,60,97.0,10029,6,5,1988,1989,268.0,831,320,1151,1164,896,2060,0,2,1,4,1,8,1,2,521,0,228,0,192,0,211000,0.7761613531583299,-0.7114679784563842,-1.5722414754808967,0.36770729444227274,0.9601147689336343,0.7371809537163336,0.034391423723917416,-0.5062744113798178,0.11330886620582098,-0.800888294799474,0.44568722694636775,-0.16972249053073118,0.39873381692126025,0.4456609341817589,0.838606436135681,-0.39972159499625076,0.2838058101554381,-0.7574805950942597,-0.1265788215707037,0.011524868247503114,0.00363157763423646,-0.09797780803817915,0.04845653774593726,-0.1158662104685865,0.05217341290214525,0.005578329764368016,0.18857387281861587
178,50,0.0,13650,5,5,1958,1958,0.0,57,554,1052,1252,668,1920,1,2,0,4,1,8,1,2,451,0,0,0,0,0,172500,-0.6392411280793967,-0.024204286360124384,0.134297327025108,-0.2629996906602892,-0.35460516819826615,-0.9940382201014172,-0.7614624177228073,0.9030402669439174,-0.020493695238279645,0.37140762477416955,0.888716811527224,0.4352935799720609,0.01689586014082883,0.051144832844630984,0.5889093793978972,0.8300750618067477,-0.055188166146915456,-0.31013409713293943,-0.1914185562516352,0.19402693551388805,-0.03273944139400324,-0.0820482970018157,0.021612589441313817,0.2334582753649009,-0.10933676387101676,-0.20803167402879028,0.1595370659203669
179,20,63.0,17423,9,5,2008,2009,748.0,1904,312,2216,2234,0,2234,1,2,0,1,1,9,1,3,1166,0,60,0,0,0,501837,2.0968532046273585,-0.4783654456157028,2.170754470897565,1.4515450078007832,0.7247082624491314,0.13346447355394284,-0.12002181091875269,0.13858867729795654,0.5510585671164527,-0.6780031962072326,0.07300055243391002,-0.22454748139021086,0.22291186197992655,-0.04434602241191546,0.28820448728033,0.22464700868959825,0.02386751590196998,0.5669732037265321,-0.15669902216707468,0.03890516212520649,-0.18751202947789705,0.0630638451831175,0.04469513044245506,-0.009995393441655157,0.13333578800443477,0.015238458358432972,-0.2642485147374329
180,30,60.0,8520,5,6,1923,2006,0.0,0,968,968,968,0,968,0,1,0,2,1,5,0,2,480,0,0,184,0,0,100000,-1.685859276650434,1.6307938632859298,0.2786243851079402,-0.05832341554749632,-0.17587848265609454,0.7573291927446149,0.3658516049126524,0.35423412330560383,-0.08792736039320961,0.33590522225372543,-0.2165852048166861,-0.14283813827209274,0.21410825725239588,-0.13570052074143862,0.5157384933489738,-0.8727685395806245,-0.23752691045758104,-0.3110914265816166,-0.5961801868731764,0.01671502791172927,0.30848597592564514,0.09073964494802411,0.12004127605133269,0.00819034295799839,0.18910365096271767,0.2236649350364835,0.11636384649841336
181,160,0.0,2117,6,5,2000,2000,456.0,436,320,756,769,756,1525,0,2,1,3,1,5,1,2,440,0,0,0,0,0,177000,1.1443059004050495,1.1335513099840524,-0.8454058830161787,-1.5222086787941735,1.351313964130423,0.12869199137436674,0.18499847673274825,-0.2062221162987273,0.20291085149195065,0.057192364571074926,-0.5035269289929722,0.15201467693921172,0.08216730941807451,0.05717844475655609,0.1731035588899317,-0.20954016299915496,0.2856669995582645,-0.11240718479770227,-0.25517561002091155,0.008416068706112759,0.023918182669138838,0.19625237173080687,0.11948420563042467,-0.18232314071232633,0.02506940272907986,-0.024569160186676847,-0.10615115965443181
182,70,54.0,7588,7,6,1920,1950,0.0,352,441,793,901,901,1802,0,1,1,4,1,9,1,1,216,0,0,40,0,0,200100,-1.2327989187529342,1.3944964034472618,-0.31449694516391175,0.14464658224993374,0.3475238892766836,-0.5951309832809942,-0.3481107718213519,-0.4970824394148752,-0.30106882082929887,-0.2793249452316931,0.3769166343832626,-0.5391766555439595,0.2871627210504123,0.025283396065521102,0.5881888024558928,-0.5406349605680173,-0.34843346315844065,0.5652461546327001,-0.18119691908028246,-0.3680226249281408,0.5887516792975062,-0.49733067436098105,-0.20957899065037394,0.25963261303295354,0.25054878537745473,0.4425657247243154,0.07695177749809239
183,20,60.0,9060,5,6,1957,2006,98.0,0,0,0,1340,0,1340,0,1,0,3,1,7,1,1,252,116,0,0,0,0,120000,-0.2799889523259424,-0.8719192702831413,1.2964882756212623,-0.1972108802552307,0.09946287434338152,-0.273088155793742,-0.02472585441751021,-0.9843714767375548,0.46731083490817427,0.32530948431400053,0.5342630239973133,0.7737912183303105,0.1510208826360194,-0.4539837008360407,-0.9387582570369071,0.0851923978999178,0.5223962021222648,-0.08828005108379434,0.31695906525225254,-0.145211781192046,-0.17554966214509365,-0.27996773780317163,0.19250162128784282,-0.031202431388245022,-0.12502445693754755,0.029721628932534806,-0.00707919649568563
184,50,63.0,11426,7,5,2003,2003,0.0,0,1362,1362,1362,720,2082,0,2,1,3,1,6,0,2,484,280,238,0,0,0,200000,0.37666007414294383,2.2728300953681693,-0.4095470647398589,-0.3867711544361547,-0.45924545048057036,0.12270222525658343,0.12695445745331496,0.384263529766568,0.30695438730746166,0.23365198146179691,0.023465954204713837,-0.2643919133122823,0.2039848733989677,-0.03144943432173648,-0.37731914598484606,0.41483145766078944,0.028314840467719118,-0.43974749531270546,-0.17260633081698443,-0.06853041214996015,0.2120482452901633,0.24322419491401112,-0.2137801130571695,-0.04590044527020594,0.13216573033686035,0.11836118442213066,0.19826609760669478
185,50,92.0,7438,5,8,1908,1991,0.0,0,504,504,936,316,1252,0,1,0,3,1,5,0,2,576,104,0,0,0,0,127000,-0.4163422319891344,0.4180784558037782,-0.7787175849477846,0.8400118867716768,-0.1396640718729601,-0.38632223294905627,0.2074136002041272,-0.48272226071258867,0.2591006067938574,-0.4648213356377948,0.45357454266638025,0.013427449294460755,1.2397225609653635,0.08055165517164169,-0.051898157816244815,0.5700209842947453,0.5101130740956217,0.11062734195952996,0.15552876983214045,-0.004332337546872806,-0.13228414955258716,-0.37959465425126326,-0.3389758169243865,0.269061303968039,0.2047157236053102,0.33482782772222636,0.17698688739523472
186,75,90.0,22950,10,9,1892,1993,0.0,0,1107,1107,1518,1518,3608,0,2,1,4,1,12,2,3,840,0,260,0,410,0,475000,-0.41732346602196074,1.8345709889026258,-0.19680129162231425,0.9087714273936288,0.39037129477613425,0.0880364504224778,-0.02489128640154283,0.4368683902551139,1.336532020811642,0.544064791428896,0.27788959005245123,0.3180404800852917,0.5226543148973407,-0.15247053422412973,0.12605477756999064,-0.7546846653022322,-0.9342743621939072,0.3205616000446538,0.05379195605548803,0.2275266199581099,-0.23679709660369858,0.5904703046022196,0.007395757122401919,-0.44474396093755003,0.12433032748450631,-0.2876730437209645,-0.009043618456267874
187,80,0.0,9947,7,5,1990,1991,0.0,611,577,1188,1217,0,1217,1,2,0,3,1,6,0,2,497,168,27,0,0,0,173000,0.9197365272573058,-0.4517863290321347,-1.1246731385100226,0.8597470779527101,-0.11352034948406295,0.4693989919461174,-0.5558825397327368,-0.603126411895796,0.45664857827895255,0.2086971937521246,0.08868035770509577,0.29899161572464344,0.33088220559746634,-0.09423451528968244,-0.4571166503568819,0.8328733774943815,0.040931609511291794,0.19176299970073804,0.14808912108398642,-0.020107667458074786,-0.06258095589835738,0.5000293794000514,-0.2792120982145131,-0.3670778808334764,-0.018165753089927107,0.11912684838725347,0.03618276026119883
188,50,60.0,10410,5,7,1916,1987,0.0,0,660,660,808,704,1656,0,2,1,3,1,8,0,1,180,0,0,0,0,0,135000,-1.6134526708703942,1.3285019805440077,-0.3643728294778006,0.10167427194315223,0.12291375660279967,0.2298989938497572,0.02647862057763254,-0.19857719382014904,0.27035416144986696,1.1705226159653934,0.4313813468550174,-0.22425402351543644,0.7101535455891413,-0.6084691442221425,0.6455110541840219,-0.15218982799122796,-0.31566211567398533,0.011555759272220705,-0.9884324064217493,0.13030809370326396,0.19507415762424557,-0.026543657759478513,0.3080738251403826,-0.078791255447488,0.08985767869989734,0.3154213805924403,0.008314766990086422
189,90,64.0,7018,5,5,1979,1979,275.0,1086,0,1086,1224,0,1224,2,0,2,2,2,6,2,2,528,120,0,0,0,0,153337,-1.0704142107937205,-0.45928310798566374,-0.30445349812022615,-0.5751626195932028,0.19323523021851355,-0.022327236827210047,-0.09490315287146787,-0.08021976414813699,0.3956809196595674,-0.05488763026272719,0.14221204969715767,-0.9762408179889526,0.8953336556787104,-0.6749172155923303,0.4555799480130997,0.10997242292804231,-0.09313200826308639,-0.26781483564499375,-0.015380871317256685,-0.6235910298248573,-0.4909692854059161,0.38082062221102847,0.19434845979034882,0.14071097972750712,0.08072847406833018,-0.1708706072730152,0.1855473033041834
190,120,41.0,4923,8,5,2001,2002,0.0,1153,440,1593,1593,0,1593,1,1,1,0,1,5,1,2,682,0,120,0,224,0,286000,1.4703727822523875,0.09143402501564725,1.1697589220342797,-0.18570842975254304,0.06537408231174097,-0.4596895997621189,-0.7960988823579118,-0.022665395039997698,-0.5940977907364448,0.49023774845386303,0.2860559130171687,0.2600161226766816,0.5641175304930017,0.41140253118741654,0.38580160413417286,0.2048262589564053,-0.11566697005827134,0.4025774402109053,-0.2170406159613432,-0.028037138996196673,-0.05414950682034144,-0.20953221866761057,0.021927896923867696,-0.18343037921027175,0.11264910762364401,-0.2109789801121382,-0.051570301602194155
191,70,70.0,10570,8,8,1932,1994,0.0,297,556,853,1549,1178,2727,0,2,1,3,1,10,2,2,440,0,74,0,0,0,315000,-0.41360824932170087,0.4294568859390386,-0.561345623185371,0.08083698785909978,0.5803926936663293,-0.33550249239490815,-0.8359085048792876,0.3948255696845249,-0.25017940676342587,-0.504294308333065,-0.09340773963793832,-0.500805348214347,-1.0113391127443945,-0.28285259814941816,1.2403994773873437,-0.1291349784950959,-0.2096973663876607,0.3137119127507669,-0.05387367581956748,0.23697463215687575,0.08588587652465669,0.7584760589686808,-0.6004411228712959,0.39735098796808754,0.028967870858364577,-0.10675296197280942,0.20616159488721345
192,60,0.0,7472,7,9,1972,2004,138.0,626,99,725,725,754,1479,1,1,1,4,1,7,0,2,484,0,32,0,0,0,184000,-0.5142168882981806,-1.6039930021044067,-1.0414776925608753,0.393975517239555,1.0642909529340199,-0.027745970186559846,-0.22447037408669304,0.8195397349881599,-0.5594156820740267,-0.0038928882727814335,-0.742024010083419,0.08023613537527993,-0.19810566130605275,0.3761474191219679,-0.4063555568545254,0.30606338891021234,-0.017812948518591196,0.7699673457784272,-0.006145477612480533,-0.07946785723833452,-0.08088109550457336,-0.11313176515949763,0.029659087543011716,-0.013959699793777007,-0.060841386555476114,0.12136425652617973,0.14272291911731902
193,20,68.0,9017,7,5,1999,1999,0.0,560,871,1431,1431,0,1431,1,2,0,3,1,6,0,2,666,0,35,0,0,0,192000,2.2804187172871275,-0.12500968177993563,-0.1651591381981549,0.5132808023364547,-1.1469590055980219,-0.29099269960946683,0.25329722599723076,0.28756890751121844,-0.1969313799365729,0.09093737912931704,-0.2575931722356242,0.3510254620100342,0.32266790014181745,-0.06368229315972887,-0.16467723219860053,-0.03544034511058881,0.12118598039727951,-0.04017906872550554,0.10159417768199551,0.09848357421994525,-0.04572759558846328,0.030510650809405855,0.05825893919840761,-0.026380324508113437,-0.0001379793905947433,0.1527945612663614,-0.0579619453801741
194,160,24.0,2522,7,5,2004,2004,50.0,0,970,970,970,739,1709,0,2,0,3,1,7,0,2,380,0,40,0,0,0,130000,1.3016407135232984,1.8867342438497796,-0.4343863880527725,-0.9920052678892401,0.32695903409819665,0.3085334634663331,0.04136550996788064,0.6540172679277838,-0.24991377501043316,0.5315416452625599,-0.22443476359937384,-0.04093428725149906,-0.10740501636096546,0.028420580419742325,0.4753577489867406,-0.060130890018633316,-0.2155157564002838,-0.20918938795981964,0.7865016068158159,-0.5010864005550217,-0.40440711443286637,0.4073121129022201,-0.09671916464666083,-0.11524971866087907,0.2949638211336691,-0.03244958243545487,-0.056879073695688696
195,20,60.0,7180,5,7,1972,1972,0.0,390,474,864,864,0,864,0,1,0,3,1,5,0,1,352,0,0,0,0,0,127000,-1.2073205355963021,-0.8178446450347528,0.13852531285266825,0.6944734740095492,0.01162569482878503,0.6004916067998953,0.06377631205473581,-0.184892303425928,0.20727588993297397,0.5348791418261634,-0.21538966952861702,-0.10943791396566614,0.1369488678123786,0.15686879948322446,-0.08372091959735965,0.39519516417565326,0.10144312857442615,-0.19210261831474437,0.20121851508994587,0.0952614643431903,-0.06455371295200671,-0.1665127735277395,0.25260425598227665,0.009601120399530445,-0.1242043157354779,0.12772111225121874,-0.048644234890242874
196,160,24.0,2280,6,6,1976,1976,0.0,566,289,855,855,601,1456,0,2,1,3,1,7,1,2,440,87,0,0,0,0,148500,-1.1401020189731552,-0.5721480181975134,-1.300279498959977,-0.6730083002514388,0.06694001300335581,-0.04420722995829882,-0.9803629331920616,0.2548009345377051,0.015068384497437035,0.0992162450625113,0.22388092581611863,-0.2992261861764068,-0.03090869496136509,0.24362798106422395,0.5665115622812088,0.5714460643718154,-0.37775025791651284,0.28490812436252577,-0.14891901188545306,-0.03334650911866414,0.024995156042020572,0.056702383502643255,0.07069682956704182,0.11040682158478961,-0.022437978559708742,-0.08082365841382444,-0.21369245063911782
197,20,79.0,9416,7,5,2007,2007,205.0,1126,600,1726,1726,0,1726,1,2,0,3,1,8,1,3,786,171,138,0,266,0,311872,1.5481316304904211,-0.13110819983153743,2.6441151310856252,0.09060616829499214,1.1005074169880598,-0.20568553545479606,-0.9642886251757498,-0.1838246325016231,0.6742225534032645,-0.35567387778621645,0.23534443257323287,-0.24333840277157961,0.4634623792543135,0.07733430124089756,0.26065247566233585,-0.09629320633033647,0.21906510713916874,0.0015119633232419743,-0.13280452679963475,-0.01635839769597656,0.005295620303605051,-0.02730245489705474,0.13390946307096127,0.07422817247904613,0.0576506959465836,-0.0012304886770390612,-0.14300443674861368
198,75,174.0,25419,8,4,1918,1990,0.0,1036,140,1360,1360,1360,3112,1,2,0,4,1,8,1,2,795,0,16,552,0,512,235000,-0.2396706802021512,0.9904867909235872,-0.4425406955749411,0.40276223776482856,0.2719592466468523,0.6228480923192383,-1.2753787884986338,0.4811374947970035,0.2587953889065305,-1.5416672374630287,-0.18526194400659166,0.011527763391971362,0.1262206774414417,0.08651459392204922,-0.10598391193446753,-0.5678485794052672,-0.7010059408910612,-0.004033452770283597,-0.15400754526158728,0.03766838859797847,-0.22901667262550524,-0.15522325508083448,-0.06633983544485932,0.0098041755031939,0.12337060487262111,0.15473956603505257,0.0004209454503382626
199,75,92.0,5520,6,6,1912,1950,0.0,0,755,755,929,929,2229,0,1,0,5,1,8,0,0,0,0,198,30,0,0,104000,-1.3997122738454961,1.252722949923122,0.12563783597424752,0.42191033478163786,0.1200297348158955,0.8226666396516249,-0.17708011504875557,0.05444236688001525,0.7093392683508026,0.9634395588233623,-0.5644150728949336,-0.750653869432191,-0.28580904989808925,-0.488290907959746,-0.35067834585276464,-0.2143255020602173,-0.08626925159455419,-0.05709046207544952,0.254245106164642,0.03015699943380445,-0.1919281566255934,0.005103034731706825,0.05077351020117313,0.03867407629936267,0.10181684587892678,0.0038891403385085486,0.1356474988150784
200,20,76.0,9591,8,5,2004,2005,262.0,1088,625,1713,1713,0,1713,1,2,0,3,1,7,1,3,856,0,26,0,170,0,274900,2.0534842730552842,-0.44398241806146455,1.899498187113631,-0.2356366169434222,0.5753157077417937,-0.3164649520218441,-0.03960691794380538,-0.14590852566293352,-0.42539020354174406,0.011523411959117819,0.3182881896880575,0.0859922263218979,0.4693875449329641,0.25311806622443306,0.3751120295263142,0.06022802597392378,0.15965288901666153,0.2847074133200514,-0.2512650734697233,-0.026055471735842353,0.0889439532633588,0.12836135463336734,0.018693049908321508,-0.1812821817164869,-0.09239670634649323,-0.11257049490289858,0.13774061316340522
201,20,80.0,8546,4,5,2003,2004,0.0,0,1121,1121,1121,0,1121,0,2,0,2,1,5,0,2,440,132,64,0,0,0,140000,0.6795413763126078,0.787370678837869,-0.16887771203248733,-0.30672968741783646,-1.0133062308591347,0.9179159296424951,0.032405926434452066,-0.5012611696402511,0.13945536918217827,0.29426399426207267,0.22912886482438194,-0.19181766702250014,-0.461427013485512,-0.03447408651373822,-0.18084386858225449,-0.06770651761482449,0.20126148708125552,-0.26234343238031743,0.26805667316767995,-0.3175378726127627,-0.25101227056371583,-0.002564415742596819,-0.08516483085690187,-0.15806506464542336,0.15408157084726037,0.16395568060965462,0.04386398354835075
202,20,75.0,10125,6,6,1977,1977,0.0,641,276,1196,1279,0,1279,0,2,0,3,1,6,2,2,473,238,83,0,0,0,171500,-1.6719704249330793,-0.1750211720420873,-0.05189930396132182,-0.3266810554188438,-0.7113496828380164,0.21959970664531048,-0.4380757556643595,0.10388188001608774,0.13548354404968618,0.24383447770573033,0.39790947665758153,-0.9379527776288173,0.3420944732844067,0.8726747332466324,-0.06962385150804651,-0.052320821096285754,0.726550242725512,-0.1675456086896971,-0.2389813976869715,0.22531470603878534,-0.1424102372874131,0.006828427988035506,0.06855789417739654,-0.10779712854844223,-0.026573953871427917,0.15064832027335726,-0.09397026473434497
203,50,50.0,7000,6,6,1924,1950,0.0,617,0,617,865,445,1310,0,2,0,2,1,6,0,1,398,0,0,126,0,0,112000,-1.3631650259244643,0.9080293067493597,-0.24526279470594847,0.44376305535013405,0.14345850213302508,0.21717394086521474,-0.4944182685730999,-0.2988191444671207,0.6294787811804243,-1.0670300094358662,0.8022266795860274,0.31508555800678956,0.27464503667623485,-0.49447038956570954,0.7523494768854735,0.464081296684549,-0.4449691492028118,0.3744547487069984,0.39294389975246685,-0.2959656823265377,0.9548877205996235,-0.31861635099011026,-0.06259878728509549,-0.00679214571240864,-0.1369159671181101,0.08279986849535548,0.08668752951947312
204,120,0.0,4438,6,5,2004,2004,205.0,662,186,848,848,0,848,1,1,0,1,1,3,1,2,420,149,0,0,0,0,149000,2.286882496509417,0.20096543859194047,0.39574996343770436,-1.4288887230968406,-0.5142230546688646,0.5695400541839628,0.783006292230301,0.2314883877664348,-0.362269551546512,0.25767577841147066,0.1752677932600806,-0.10546959948321236,-0.019552156457942418,-0.20880063566736184,-0.11682501687787439,0.27127455469636585,0.027353920957390632,-0.09480895547755464,0.11978263341075812,0.04014894206201226,-0.2721882304059401,-0.17141842535935417,0.03335627746377166,-0.025304957678805112,-0.10511488764319056,-0.0041589363540143,-0.05043721375545466
205,50,50.0,3500,5,7,1947,1950,0.0,312,408,720,720,564,1284,0,1,1,2,1,5,0,1,240,0,35,0,0,0,110000,-2.1831898350386485,0.864806589881813,-0.12213235667012978,-0.5535744265309358,0.05245922334450417,-0.1455120546789388,-0.061430348861853876,0.43751464895032144,0.2194232332358651,-0.2610570075112036,-0.05663832775745783,-0.2728603908792189,0.309383960661441,0.019730793974024732,0.24298565454320709,-0.14316474378015326,-0.0803041623236352,-0.20640450977169594,0.022137493424566536,-0.21282026279157656,0.7909993768551327,-0.12278161209686911,-0.13139706063350096,0.3142162590571292,0.05816360689689359,-0.06512360923265677,-0.25441391325515306
206,20,99.0,11851,7,5,1990,1990,0.0,0,1424,1424,1442,0,1442,0,2,0,3,1,5,0,2,500,0,34,0,0,0,180500,0.35314521863950993,-0.08712979017565425,-0.6256812235356563,-0.056613258222648344,-0.5154900245606044,1.0944293113977235,-0.7042017539373364,-1.2671969769752063,0.029589175137407643,0.6434687254148611,0.4513344455150146,0.18823929003859471,-0.36353061244527407,-0.13742918773498616,-0.17558441421991108,-0.08772800357361413,-0.02693434384456925,-0.36053598136430853,0.035471351538414686,-0.2281365666923652,0.16206465429850148,-0.07854886518815045,0.16199198840000825,0.02664977446500902,-0.16745123543702722,-0.09048047748260471,-0.026281019614771136
207,20,40.0,13673,5,5,1962,1962,0.0,0,1140,1140,1696,0,1696,0,1,1,3,1,8,1,1,349,0,30,0,0,0,143900,-1.3698101825092535,-1.400014440237647,-0.9258027348725869,0.8489134762121152,-0.37268922189096204,0.5570329996632185,0.17128210113427306,0.39000168145533537,0.581895267335483,0.04955984287380657,0.8884923873287301,0.5413906014393234,0.009508049533026173,-0.3062231474241927,0.15301392058929644,-0.19872067463682377,-0.317406474967431,0.6512319010092482,0.41599250294628853,0.0422876304798208,-0.03906364081992254,0.13363198461358655,0.08458025233699334,0.023462376555684405,-0.20954335472386473,-0.03339995304940941,-0.19457052495943933
208,20,0.0,12493,4,5,1960,1960,0.0,419,375,1100,1100,0,1100,1,1,0,3,1,6,1,1,312,355,0,0,0,0,141000,-1.0809248274865,-1.0280757935177942,-0.04617698363615246,0.5131741361175155,-1.041051895520772,-0.35404763262846256,0.231033922221452,-0.578444145306534,0.27969931667337916,-0.2662435755724052,-0.32243441760102,0.5764049535999967,-0.3734518661499257,0.9047243848642049,-0.9619208460440483,0.08533952172323689,-0.24685052231091978,-0.2683543828790066,-0.15195798818234615,0.14789736437319245,-0.007560590258804956,-0.18614165785591466,0.002154639619317583,-0.11487328016925367,0.30752603751783675,0.08165882039698347,-0.14035354774567116
209,60,0.0,14364,7,5,1988,1989,128.0,1065,92,1157,1180,882,2062,1,2,1,3,1,7,1,2,454,60,55,0,154,0,277000,1.125008662866955,-1.0487304662595551,-0.58655301888028,0.5476476190860091,0.9515280378480104,-1.136627146366539,0.36191514669793495,-0.056888241429089784,-0.3217993556812963,0.42249159034027167,0.3028172132583852,-0.9789454447638827,-0.5355848814849782,-0.4606923586836589,1.0055567055848442,-0.7483694083604905,0.4551024694821244,-0.46372702344848654,-0.018868475295972718,0.16459570276259025,-0.014096447142902509,-0.002998431011295805,0.27870449667650393,0.330888384040238,-0.08812197321527675,-0.12469711089991296,-0.13275675972402462
210,20,75.0,8250,6,7,1964,1964,260.0,787,305,1092,1092,0,1092,1,1,0,3,1,6,0,2,504,0,0,0,0,0,145000,-0.6476830690619755,-1.460984377716846,0.5474551716281444,-0.7824917538596803,-0.07947599792033458,0.14344292693077584,0.002371303443838602,-0.4167288877205393,0.2773981361467304,0.6190447395505069,0.04457619739730074,-0.02925708182064178,-0.08780749889825139,-1.1373596106323818,0.18390919732181257,-0.4505015478635024,-0.21173673563019157,0.1180295285329717,-0.12249152208097347,-0.14628707354475312,-0.16818546777250906,-0.1706766646875618,-0.07917751516880872,-0.15648980528399578,-0.06577898887984528,-0.028250024176089863,-0.05430333824184403
211,30,67.0,5604,5,6,1925,1950,0.0,468,396,864,864,0,864,1,1,0,2,1,5,0,0,0,0,0,96,0,0,98000,-1.7507709334134909,0.31419135198899967,0.4048059383694788,-0.09267501289900143,-0.5928071071151895,0.0523095633867075,0.6611956706903674,-0.027417095414123804,-0.7762690321047859,-0.15407392501543649,-0.12801277083917167,-0.11154757412177696,-0.07695252784054438,-0.02142036109699183,0.33546058927079564,0.051682405096190515,0.11397540202591279,0.10469672465280107,0.5321237687548251,0.10269574836106374,-0.26843221312021115,-0.32418419428431866,-0.34583937883865773,-0.03618285353547052,0.19406437656868508,0.10038257775831033,0.06587052707981862
212,20,83.0,10420,6,5,2009,2009,0.0,36,1176,1212,1212,0,1212,0,2,0,3,1,6,0,2,460,100,22,0,0,0,186000,1.4575272203185685,0.05263674229961021,-0.11775602112919557,-0.0568468678149098,-1.3594035332309231,0.6717350933071123,-0.4366808341818829,-0.7125770035424781,0.003417502751183633,-0.3032003142074017,0.041935320345119854,-0.41739197619245344,-0.11144387523785321,0.03805694127141558,-0.7222431591335204,-6.219389543296257e-05,-0.04424473928864432,-0.08751857803050306,0.15827430843835757,-0.17149568974542537,-0.0816661585747397,-0.012630472484544242,-0.0003116570503675954,-0.08201844386290932,0.1577034396439419,0.11774570611575336,0.07732496955162943
213,60,72.0,8640,7,5,2009,2009,0.0,822,78,900,932,920,1852,1,2,1,3,1,7,1,2,644,168,108,0,0,0,252678,1.8082390598899285,0.7998087163729302,-0.22155075480868805,-0.8977240497412842,-0.379754021043004,-0.22239399316009245,-0.481300888605358,-0.1233346009860689,1.4505356800945577,-0.8380525383966725,-0.5466095121385799,-0.26733664954002384,-0.2308076448479193,-0.06333570510892843,-0.523683258683376,0.039844248031827983,0.38288109013312094,-0.03601544076901624,-0.46902383296244254,0.10517660611940963,-0.06072837141352815,-0.03776095169921652,0.06926415409292506,-0.08856750519017555,-0.06269396229356657,0.09093851423807398,0.121704160824945
214,20,43.0,13568,5,5,1995,1995,0.0,716,274,990,990,0,990,0,1,0,3,1,5,0,2,576,224,0,0,0,0,156000,0.6461262480767801,0.06361558032047393,-0.40277881009219046,0.3263483157445195,-1.2648050448799606,0.33583394206722045,-0.15227614197574593,-0.3859669579864147,0.34531391016088303,0.23897148141612962,0.28370947361547555,-0.09407508578671994,-0.3885651531167086,0.10854091527025916,0.14013954060637654,0.5160992861994029,0.18442734866482655,0.5375708628196859,0.3102855600244002,0.13329007539978033,0.05328463199529125,-0.031591062826057496,0.23004078047324758,-0.09636128257043787,0.46587178361451154,0.025720325691063847,0.008021330901871723
215,60,0.0,10900,6,7,1977,1977,153.0,378,311,689,689,703,1392,0,1,1,3,1,6,0,1,299,0,36,0,0,0,161750,0.02733978827096414,-1.4379713944557906,-1.189367738113469,0.12325520449136781,0.9695911227583188,-0.06807623699134402,0.05117878000522193,-0.17377003751345732,0.22802943717220125,0.49257778653344003,0.14310086218740137,0.2447001793596151,0.004095839189603607,-0.9534463305076053,-0.023589653938430266,-0.25484154678652243,0.28634126988676445,0.37771590147001705,-0.30903131838710385,0.13931662513736462,-0.22885024787809766,-0.1272705464574158,-0.16388596963100308,0.2882835559370557,-0.20611522763261803,-0.30262634483283174,-0.019158352276825857
216,20,72.0,10011,5,6,1957,1996,64.0,360,710,1070,1236,0,1236,0,1,0,2,1,6,1,1,447,0,0,0,0,0,134450,-1.1587330329719385,-1.7326928511274662,-0.3061978827677077,-0.06803556404474505,0.09892929169944603,0.4969355046369184,0.3986137646023678,0.4071595077905784,-0.41381211474471113,-0.27557001499357225,0.08006302362579096,0.3348508857148131,0.140315572377324,0.23461390941741417,-0.4668251392741395,-0.12165334104926721,0.15837834606785886,0.13642679396649338,0.12193202261251954,-0.08567232673227429,-0.09011653208938818,-0.04736555769967381,0.05563876933629782,-0.14100340012444285,-0.07320098106403634,0.1244384563015689,0.2608331952584655
217,20,65.0,8450,7,5,2004,2004,266.0,946,490,1436,1436,0,1436,1,2,0,3,1,8,0,2,484,139,98,0,0,0,210000,1.936774805128591,0.006213896177851382,0.15024896037704316,-0.8952774961080744,-0.7179526715751496,0.40080686715540215,0.20896340816721223,-0.22580402979330438,-0.07963537199737178,-0.14333259581688187,0.1442984002147619,0.16382508516237312,0.18968185407042412,-0.02255537377239448,0.04691204238758875,-0.26045052054438184,-0.15434112439226147,-0.14001960187013696,0.0368086074149889,0.1321635575973439,-0.047280869972855154,-0.005352237095283373,0.00018253920501717924,-0.014632992767132416,-0.03918992048857023,-0.05086646338107248,0.015555101788830928
218,70,57.0,9906,4,4,1925,1950,0.0,0,686,686,810,518,1328,0,1,0,3,1,8,0,1,210,0,172,60,0,0,107000,-2.004322179101663,1.4921269554443073,-0.0747026161646109,-0.49777324997718714,0.6489409315280337,-0.284319180169027,0.33242130951114246,0.25870912704409454,0.09062892708529813,0.043011916125001444,-0.44154326736782373,0.28510587717029356,-0.003078362007614213,0.2846323282237092,0.29228649044930183,-0.3386523946035603,-0.25589042387600025,-0.23751408041585342,0.6741700353741265,0.1005020774891401,-0.02196534867755603,-0.05317471470729558,0.16536735321942855,0.17581340907563228,0.07463301282841348,0.018295321955486,0.03637401637115425
